dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,rank_biserial_r,rank_biserial_label,hodges_lehmann,hl_ci_low,hl_ci_high,cohens_d_z,cohens_dz_raw,cohens_dz_status,diff_mean,diff_sd,winner,p_holm_per_baseline_family1
hospital_billing,regrow_leaf,REPTree,False,510,4.23452169666486e-85,8.46904339332972e-85,1.0,large,0.3227882081980014,0.315511953679557,0.3291869536795569,3.2348906277620406,3.2348906277620406,regular,0.3238888867407501,0.1001235973671303,KR,4.23452169666486e-85
hospital_billing,regrow_internal,CART,False,328,4.8602606023868686e-55,6.732310722753651e-55,1.0,large,0.1877870967741935,0.1747270161290322,0.2014453378316819,1.9084596106281355,1.9084596106281355,regular,0.1946226491895084,0.1019789195986452,KR,4.8602606023868686e-55
hospital_billing,regrow_internal,J48,False,328,1.58796748912215e-55,4.76390246736645e-55,1.0,large,0.3189888063710286,0.3000346419839996,0.3367628616550376,1.9952644103102335,1.9952644103102335,regular,0.3189829381686921,0.1598700084662438,KR,1.58796748912215e-55
hospital_billing,regrow_internal,REPTree,False,328,3.3661553613768254e-55,6.732310722753651e-55,1.0,large,0.2561035132576369,0.2409860582623969,0.2716249551929429,1.94243559688925,1.94243559688925,regular,0.2622109003449732,0.1349907820701472,KR,3.3661553613768254e-55
road_traffic,overall,CART,False,930,8.52613500596661e-144,1.705227001193322e-143,1.0,large,0.186631400532718,0.1792728493579576,0.1944494472556585,1.5581878011353458,1.5581878011353458,regular,0.1872588870992477,0.1201773540794022,KR,8.52613500596661e-144
road_traffic,overall,J48,False,930,4.098782602395666e-143,4.098782602395666e-143,1.0,large,0.3046196147888643,0.2950919379210937,0.3128520404121239,2.146248733914746,2.146248733914746,regular,0.285844568916786,0.1331833372338942,KR,4.098782602395666e-143
road_traffic,overall,REPTree,False,930,7.363735899793094e-154,2.2091207699379282e-153,1.0,large,0.2304008750774569,0.2258078378985394,0.2364136313593084,2.607567406747016,2.607567406747016,regular,0.2316769639821533,0.0888479290631931,KR,7.363735899793094e-154
road_traffic,prune,CART,False,120,1.1023991146212048e-21,3.307197343863614e-21,1.0,large,0.1290323669330257,0.1127600430058959,0.1451612903225806,1.453548463325366,1.453548463325366,regular,0.1289917367807128,0.0887426460385167,KR,1.1023991146212048e-21
road_traffic,prune,J48,False,120,8.460308708019608e-17,8.460308708019608e-17,1.0,large,0.2877162347970148,0.2121295810929976,0.3197679721233264,1.6492573747841737,1.6492573747841737,regular,0.2523411572359635,0.1530028976035262,KR,8.460308708019608e-17
road_traffic,prune,REPTree,False,120,1.1023991146212048e-21,3.307197343863614e-21,1.0,large,0.161500536340292,0.158475675444146,0.1747395814035175,2.49800159812812,2.49800159812812,regular,0.1588820242097695,0.0636036519467513,KR,1.1023991146212048e-21
road_traffic,change_label,CART,False,180,1.1023991146212048e-21,1.1023991146212048e-21,1.0,large,0.1142565296904561,0.1051189757519316,0.1290322580645161,1.0722408484791033,1.0722408484791033,regular,0.114297547971411,0.106596897640613,KR,1.1023991146212048e-21
road_traffic,change_label,J48,False,180,1.4172346392835626e-26,2.834469278567125e-26,1.0,large,0.2078167108745303,0.2008101952735466,0.2176201229017809,1.08699971534759,1.08699971534759,regular,0.2134855558739938,0.1963989068807875,KR,1.4172346392835626e-26
road_traffic,change_label,REPTree,False,180,1.808003109540384e-31,5.424009328621152e-31,1.0,large,0.1935483870967742,0.175526754069787,0.2101274318745089,1.964394873244796,1.964394873244796,regular,0.1958214784397307,0.099685394778226,KR,1.808003109540384e-31
road_traffic,branch_swap,CART,False,120,1.1043929389437244e-21,3.313178816831173e-21,1.0,large,0.1849100737287279,0.1372673466628164,0.209740408012759,1.296731003456198,1.296731003456198,regular,0.1795871820796225,0.1384922405656731,KR,1.1043929389437244e-21
road_traffic,branch_swap,J48,False,120,1.1043929389437244e-21,3.313178816831173e-21,1.0,large,0.3256106932653851,0.3248992791337612,0.3452695638875126,5.26908148868257,5.26908148868257,regular,0.3268329643969307,0.0620284512773115,KR,1.1043929389437244e-21
road_traffic,branch_swap,REPTree,False,120,1.1043929389437244e-21,3.313178816831173e-21,1.0,large,0.2250883812837707,0.2243689246690019,0.2258078378985394,4.114020450782344,4.114020450782344,regular,0.2334518725426817,0.0567454331682496,KR,1.1043929389437244e-21
road_traffic,change_threshold,CART,False,90,8.170275894867172e-17,1.9919038089022023e-16,1.0,large,0.2341879488469809,0.1853696774193548,0.2460307305934042,1.9652788954787204,1.9652788954787204,regular,0.2202837480537236,0.1120877797856089,KR,8.170275894867172e-17
road_traffic,change_threshold,J48,False,90,6.639679363007341e-17,1.9919038089022023e-16,1.0,large,0.291684303644978,0.291684303644978,0.2994433063346847,8.54870418702228,8.54870418702228,regular,0.2942706378748802,0.0344228354891037,KR,6.639679363007341e-17
road_traffic,change_threshold,REPTree,False,90,8.170275894867172e-17,1.9919038089022023e-16,1.0,large,0.2443174930271748,0.2396642640018076,0.2490740415194371,4.9486475761952216,4.9486475761952216,regular,0.2430972958471226,0.0491239863223455,KR,8.170275894867172e-17
