dataset,algorithm,decision_point,operator,n_trials,dominance_pct
production,REPTree,p_35,change_feature,30,0.0
production,REPTree,p_35,change_label,30,0.0
production,REPTree,p_35,change_threshold,30,0.0
production,REPTree,p_35,prune,30,0.0
production,REPTree,p_35,regrow_internal,30,0.0
production,REPTree,p_35,regrow_leaf,30,0.0
production,REPTree,p_37,branch_swap,30,0.0
production,REPTree,p_37,change_feature,30,0.0
production,REPTree,p_37,change_label,30,0.0
production,REPTree,p_37,prune,30,0.0
production,REPTree,p_37,regrow_internal,30,0.0
production,REPTree,p_37,regrow_leaf,30,0.0
production,REPTree,p_40,branch_swap,30,0.0
production,REPTree,p_40,change_feature,30,0.0
production,REPTree,p_40,change_label,30,0.0
production,REPTree,p_40,change_threshold,30,0.0
production,REPTree,p_40,prune,30,0.0
production,REPTree,p_40,regrow_internal,30,0.0
production,REPTree,p_40,regrow_leaf,30,0.0
production,REPTree,p_42,branch_swap,30,0.0
production,REPTree,p_42,change_feature,30,0.0
production,REPTree,p_42,change_label,30,0.0
production,REPTree,p_42,change_threshold,30,0.0
production,REPTree,p_42,prune,30,0.0
production,REPTree,p_42,regrow_internal,30,0.0
production,REPTree,p_42,regrow_leaf,30,0.0
production,REPTree,p_44,change_label,30,0.0
production,REPTree,p_44,prune,30,0.0
production,REPTree,p_44,regrow_internal,30,0.0
production,REPTree,p_44,regrow_leaf,30,0.0
production,REPTree,p_5,branch_swap,30,0.0
production,REPTree,p_5,change_label,30,0.0
production,REPTree,p_5,prune,30,0.0
production,REPTree,p_5,regrow_internal,30,0.0
production,REPTree,p_5,regrow_leaf,30,0.0
production,REPTree,p_53,branch_swap,30,0.0
production,REPTree,p_53,change_feature,30,0.0
production,REPTree,p_53,change_label,30,0.0
production,REPTree,p_53,change_threshold,30,0.0
production,REPTree,p_53,prune,30,0.0
production,REPTree,p_53,regrow_internal,30,0.0
production,REPTree,p_53,regrow_leaf,30,0.0
production,REPTree,p_56,change_label,30,0.0
production,REPTree,p_56,prune,30,0.0
production,REPTree,p_56,regrow_internal,30,0.0
production,REPTree,p_56,regrow_leaf,30,0.0
production,REPTree,p_59,branch_swap,30,0.0
production,REPTree,p_59,change_feature,30,0.0
production,REPTree,p_59,change_label,30,0.0
production,REPTree,p_59,prune,30,0.0
production,REPTree,p_59,regrow_internal,30,0.0
production,REPTree,p_59,regrow_leaf,30,0.0
production,REPTree,p_61,change_label,30,0.0
production,REPTree,p_61,regrow_leaf,30,0.0
production,REPTree,p_63,branch_swap,30,0.0
production,REPTree,p_63,change_feature,30,0.0
production,REPTree,p_63,change_label,30,0.0
production,REPTree,p_63,prune,30,0.0
production,REPTree,p_63,regrow_internal,30,0.0
production,REPTree,p_63,regrow_leaf,30,0.0
production,REPTree,p_65,branch_swap,30,0.0
production,REPTree,p_65,change_feature,30,0.0
production,REPTree,p_65,change_label,30,0.0
production,REPTree,p_65,prune,30,0.0
production,REPTree,p_65,regrow_internal,30,0.0
production,REPTree,p_65,regrow_leaf,30,0.0
production,REPTree,p_66,change_label,30,0.0
production,REPTree,p_66,prune,30,0.0
production,REPTree,p_66,regrow_internal,30,0.0
production,REPTree,p_66,regrow_leaf,30,0.0
production,REPTree,p_67,branch_swap,30,0.0
