dataset,algorithm,decision_point,operator,n_trials,dominance_pct
international_declarations,CART,p_68,prune,30,0.0
international_declarations,CART,p_68,regrow_internal,30,6.666666666666667
international_declarations,CART,p_68,regrow_leaf,30,0.0
international_declarations,CART,p_74,change_label,30,0.0
international_declarations,CART,p_74,regrow_leaf,30,0.0
international_declarations,CART,p_76,change_label,30,0.0
international_declarations,CART,p_76,regrow_leaf,30,0.0
international_declarations,CART,p_9,branch_swap,30,0.0
international_declarations,CART,p_9,change_label,30,0.0
international_declarations,CART,p_9,prune,30,0.0
international_declarations,CART,p_9,regrow_internal,30,0.0
international_declarations,CART,p_9,regrow_leaf,30,0.0
international_declarations,REPTree,p_12,branch_swap,30,0.0
international_declarations,REPTree,p_12,change_feature,30,0.0
international_declarations,REPTree,p_12,change_label,30,0.0
international_declarations,REPTree,p_12,regrow_internal,1,0.0
international_declarations,REPTree,p_12,regrow_leaf,30,0.0
international_declarations,REPTree,p_17,change_label,30,0.0
international_declarations,REPTree,p_17,regrow_leaf,30,0.0
international_declarations,REPTree,p_19,change_label,30,0.0
international_declarations,REPTree,p_19,regrow_leaf,30,0.0
international_declarations,REPTree,p_21,change_label,30,0.0
international_declarations,REPTree,p_21,regrow_leaf,30,0.0
international_declarations,REPTree,p_22,change_label,30,0.0
international_declarations,REPTree,p_22,regrow_leaf,30,0.0
international_declarations,REPTree,p_24,change_label,30,0.0
international_declarations,REPTree,p_24,regrow_leaf,30,0.0
international_declarations,REPTree,p_3,change_label,30,0.0
international_declarations,REPTree,p_3,regrow_leaf,30,0.0
international_declarations,REPTree,p_38,change_label,30,0.0
international_declarations,REPTree,p_38,regrow_leaf,30,0.0
international_declarations,REPTree,p_50,change_label,30,0.0
international_declarations,REPTree,p_50,regrow_leaf,30,0.0
international_declarations,REPTree,p_52,branch_swap,30,0.0
international_declarations,REPTree,p_52,change_feature,30,0.0
international_declarations,REPTree,p_52,change_label,30,0.0
international_declarations,REPTree,p_52,change_threshold,30,0.0
international_declarations,REPTree,p_52,prune,30,0.0
international_declarations,REPTree,p_52,regrow_internal,30,0.0
