dataset,view,baseline,rq12_not_applicable,rq12_n_trials,wilcoxon_p,p_holm,hodges_lehmann,hl_ci_low,hl_ci_high,winner,p_holm_per_baseline_family1
prepaid_travel_costs,prune,CART,False,180,3.1581396263113583e-22,6.316279252622717e-22,0.032258064516129,0.0220814132104454,0.032258064516129,RulesRepair,3.1581396263113583e-22
prepaid_travel_costs,prune,J48,False,180,1.302296550044173e-26,3.9068896501325196e-26,0.03821044546851,0.032258064516129,0.0415800984144341,RulesRepair,1.302296550044173e-26
prepaid_travel_costs,prune,REPTree,False,180,3.1581396263113583e-22,6.316279252622717e-22,0.032258064516129,0.0220814132104454,0.03821044546851,RulesRepair,3.1581396263113583e-22
prepaid_travel_costs,change_label,CART,False,390,2.1603203590886016e-41,4.320640718177203e-41,0.0349271036620364,0.032258064516129,0.0483870967741935,RulesRepair,2.1603203590886016e-41
prepaid_travel_costs,change_label,J48,False,390,2.2014355585419116e-36,2.2014355585419116e-36,0.0838448325241403,0.083325,0.0994540322580645,RulesRepair,2.2014355585419116e-36
prepaid_travel_costs,change_label,REPTree,False,390,2.3628907206876246e-46,7.088672162062874e-46,0.0994540322580645,0.0859940391459074,0.0996663680068317,RulesRepair,2.3628907206876246e-46
prepaid_travel_costs,branch_swap,CART,False,180,1.0559656533770767e-31,3.16789696013123e-31,0.132605376344086,0.1236320476026479,0.1354158527919892,RulesRepair,1.0559656533770767e-31
prepaid_travel_costs,branch_swap,J48,False,180,1.7054406343547175e-31,3.16789696013123e-31,0.1443891815334272,0.132605376344086,0.149627688172043,RulesRepair,1.7054406343547175e-31
prepaid_travel_costs,branch_swap,REPTree,False,180,1.0559656533770767e-31,3.16789696013123e-31,0.132605376344086,0.1246596378250034,0.1406543594306049,RulesRepair,1.0559656533770767e-31
prepaid_travel_costs,change_threshold,CART,False,90,6.639679363007341e-17,1.9919038089022023e-16,0.1401410167441307,0.1401410167441307,0.1619540322580645,RulesRepair,6.639679363007341e-17
prepaid_travel_costs,change_threshold,J48,False,90,6.639679363007341e-17,1.9919038089022023e-16,0.1401410167441307,0.1401410167441307,0.1619540322580645,RulesRepair,6.639679363007341e-17
prepaid_travel_costs,change_threshold,REPTree,False,90,6.639679363007341e-17,1.9919038089022023e-16,0.158509815184011,0.158509815184011,0.1619540322580645,RulesRepair,6.639679363007341e-17
prepaid_travel_costs,change_feature,CART,False,150,1.488787905596132e-26,4.466363716788396e-26,0.1401410167441307,0.1397126088069636,0.1408942294516431,RulesRepair,1.488787905596132e-26
prepaid_travel_costs,change_feature,J48,False,150,1.488787905596132e-26,4.466363716788396e-26,0.1590635094904164,0.1401410167441307,0.1614114933613842,RulesRepair,1.488787905596132e-26
prepaid_travel_costs,change_feature,REPTree,False,150,1.488787905596132e-26,4.466363716788396e-26,0.1406543594306049,0.1397126088069636,0.158509815184011,RulesRepair,1.488787905596132e-26
prepaid_travel_costs,regrow_leaf,CART,False,390,1.1318062433667758e-65,3.3954187301003273e-65,0.2594186827956989,0.2489290322580645,0.269858064516129,RulesRepair,1.1318062433667758e-65
prepaid_travel_costs,regrow_leaf,J48,False,390,2.369890985051931e-65,3.3954187301003273e-65,0.2790137983034523,0.2694767636244488,0.2909936006399445,RulesRepair,2.369890985051931e-65
prepaid_travel_costs,regrow_leaf,REPTree,False,390,1.149638974538991e-65,3.3954187301003273e-65,0.2841598976832923,0.2746193670262896,0.2957047400420763,RulesRepair,1.149638974538991e-65
prepaid_travel_costs,regrow_internal,CART,False,180,5.699926019485189e-31,1.1890533869599223e-30,0.2534915322580645,0.2408560483870968,0.2699770161290322,RulesRepair,5.699926019485189e-31
prepaid_travel_costs,regrow_internal,J48,False,180,3.963511289866408e-31,1.1890533869599223e-30,0.2445942061962679,0.2315056071765237,0.2577241427473037,RulesRepair,3.963511289866408e-31
prepaid_travel_costs,regrow_internal,REPTree,False,180,5.699926019485189e-31,1.1890533869599223e-30,0.2600369157089195,0.24605,0.273825,RulesRepair,5.699926019485189e-31
production,overall,CART,False,4440,0.0,0.0,0.3265129354164122,0.3230772971494562,0.3299837662927746,RulesRepair,0.0
production,overall,J48,False,4440,0.0,0.0,0.2590077248740803,0.2545926691740913,0.2635813922215279,RulesRepair,0.0
production,overall,REPTree,False,4440,0.0,0.0,0.2181150537634408,0.2141466261130352,0.222225,RulesRepair,0.0
production,prune,CART,False,750,1.9213920837842302e-117,5.764176251352691e-117,0.2908973125331259,0.280805517652421,0.2989855707167351,RulesRepair,1.9213920837842302e-117
production,prune,J48,False,750,6.940027696257808e-97,1.3880055392515615e-96,0.1869726341130021,0.16665,0.1993667842004565,RulesRepair,6.940027696257808e-97
production,prune,REPTree,False,750,1.378428534102719e-80,1.378428534102719e-80,0.1211978670833032,0.1169274303002469,0.125,RulesRepair,1.378428534102719e-80
production,change_label,CART,False,780,1.4098163855238004e-119,4.2294491565714015e-119,0.2997450217849033,0.2883119572687743,0.3126951682390504,RulesRepair,1.4098163855238004e-119
production,change_label,J48,False,780,1.1028309307638262e-114,2.2056618615276524e-114,0.2206926231102403,0.2109004434960432,0.2303318262995925,RulesRepair,1.1028309307638262e-114
production,change_label,REPTree,False,780,8.208030992101815e-110,8.208030992101815e-110,0.1860821099840029,0.175,0.1994921717171717,RulesRepair,8.208030992101815e-110
production,branch_swap,CART,False,570,4.329935421195024e-95,1.2989806263585071e-94,0.3405098722370637,0.3334492529811984,0.3522227761579278,RulesRepair,4.329935421195024e-95
production,branch_swap,J48,False,570,5.364692355070693e-93,1.0729384710141387e-92,0.2788600806451612,0.2744245967741935,0.2922858196645755,RulesRepair,5.364692355070693e-93
production,branch_swap,REPTree,False,570,5.364692355070693e-93,1.0729384710141387e-92,0.242594779138136,0.2331861769875984,0.2516918684313778,RulesRepair,5.364692355070693e-93
production,change_threshold,CART,False,240,2.9918689741082846e-41,8.975606922324854e-41,0.33335,0.3270794503129519,0.3539495967741936,RulesRepair,2.9918689741082846e-41
production,change_threshold,J48,False,240,2.9918689741082846e-41,8.975606922324854e-41,0.3147257868676105,0.2889397771899354,0.3240378934338052,RulesRepair,2.9918689741082846e-41
production,change_threshold,REPTree,False,240,2.9918689741082846e-41,8.975606922324854e-41,0.2544016940438978,0.2377146774193548,0.26493950325739,RulesRepair,2.9918689741082846e-41
production,change_feature,CART,False,540,3.5490832563710573e-90,1.0647249769113172e-89,0.3482844033355419,0.3384372363654876,0.3563455877489471,RulesRepair,3.5490832563710573e-90
production,change_feature,J48,False,540,2.9659422627828745e-88,5.864012590067451e-88,0.3,0.2898695256304971,0.3124946684926403,RulesRepair,2.9659422627828745e-88
production,change_feature,REPTree,False,540,2.9320062950337253e-88,5.864012590067451e-88,0.26493950325739,0.2544016940438978,0.2738083333333333,RulesRepair,2.9320062950337253e-88
production,regrow_leaf,CART,False,780,7.824134883590204e-129,2.347240465077061e-128,0.3149143674226063,0.3064102817239648,0.3237030767057323,RulesRepair,7.824134883590204e-129
production,regrow_leaf,J48,False,780,1.1364696469418107e-128,2.347240465077061e-128,0.2596176183800578,0.2507167879167894,0.2682666666666666,RulesRepair,1.1364696469418107e-128
